country,year,maternal_education_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized,mcv1_standardized
AFG,1981,-1.720722632,2.4480336,-1.358454425,0.372036637,1.744129556,-2.358068791
AGO,1981,-1.563003017,2.408660748,-0.96077137,1.495727923,0.030956885,-2.358068791
ALB,1981,0.124645262,-0.00065496,-0.575993411,0.994517652,0.417110159,-2.358068791
ARE,1981,-0.786452868,-0.65939307,1.514766438,-0.206503235,1.604908913,-2.358068791
ATG,1981,0.248220335,-0.90925925,-0.545791903,-0.786922519,0.890735502,-2.358068791
BDI,1981,-1.560948053,2.10124963,-1.898810477,0.715786883,1.651769779,-2.358068791
BEN,1981,-1.579132467,2.013417882,-0.845476891,2.569144739,0.61217143,-2.358068791
BFA,1981,-1.713221549,2.402603386,-1.678124387,2.282741652,0.802652498,-2.358068791
BGD,1981,-1.329061246,1.895299324,-1.392554347,0.343887482,0.819911215,-2.358068791
BGR,1981,1.041052211,-0.795683714,0.70461324,0.834956656,0.843577253,-2.358068791
BHR,1981,-0.961095494,-0.685136859,1.767222362,-0.717150855,-0.085656533,-2.358068791
BHS,1981,0.654215818,-0.704823285,1.208270427,-0.891528721,1.088020395,-2.358068791
BLZ,1981,-0.303783298,-0.203576585,0.103271652,-0.549717031,1.129166282,-2.358068791
BOL,1981,-0.364803459,1.345593729,-0.01878904,-0.421354518,0.254460897,-2.358068791
BRA,1981,-0.542957222,0.247696879,0.873410093,0.551323774,0.185738803,-2.358068791
BRB,1981,0.672221846,-0.757825202,-0.315919895,-0.897465204,1.095484665,-2.358068791
BTN,1981,-1.602009467,1.690863359,-1.623546589,0.840852198,0.787050973,-2.358068791
BWA,1981,-0.666974614,-0.109687475,-1.31409316,1.607137241,0.470630785,-2.358068791
CAF,1981,-1.66930168,1.634832761,-0.568017345,1.408031774,1.664702774,-2.358068791
CHN,1981,-0.609062276,-0.236892076,-1.199112347,-0.515197949,0.850544156,-2.358068791
CIV,1981,-1.485716013,1.356194112,-0.440669149,2.167546451,0.049780386,-2.358068791
CMR,1981,-1.116252127,1.489456075,-0.63258763,3.455810949,0.648804693,-2.358068791
COD,1981,-1.376671989,2.019475243,-0.876081683,1.030512328,1.657341951,-2.358068791
COG,1981,-1.21865943,0.44001812,0.08525829,3.307763196,0.700631667,-2.358068791
COK,1981,0.613248751,0.109392747,-0.436443626,-0.213498502,0.689012285,-2.358068791
COL,1981,-0.346263463,-0.31412344,0.785494132,-0.669564219,-0.008863337,-2.358068791
COM,1981,-1.431942663,1.41373905,-1.040890503,1.950592748,0.344497148,-2.358068791
CPV,1981,-1.373107564,0.19015194,-0.980577107,-1.412844694,1.223391778,-2.358068791
CRI,1981,0.074514039,-0.789626352,-0.153620399,-0.722796046,0.400487841,-2.358068791
CUB,1981,0.246567118,-0.825970523,0.984671729,-1.133904053,0.053794166,-2.358068791
DJI,1981,-1.520097241,1.138129083,1.1717508,0.090946936,0.506347939,-2.358068791
DMA,1981,0.910832955,-0.794169373,0.040986644,-0.773039613,0.58224975,-2.358068791
DOM,1981,-0.354272254,0.123520959,0.247468167,-0.03566197,0.340654956,-2.358068791
DZA,1981,-1.334105117,0.904920648,-0.110155322,-0.074454203,1.012546791,-2.358068791
ECU,1981,-0.06417053,0.173494195,0.045243533,0.123473698,0.150472636,-2.358068791
EGY,1981,-1.0762127,1.260790662,-0.134621232,-0.485545129,0.29336322,-2.358068791
ETH,1981,-1.658347249,2.457119643,-1.625159726,2.184602434,1.287582992,-2.358068791
FJI,1981,0.087761001,-0.50038732,-0.40146096,-0.173073046,0.642357635,-2.358068791
GAB,1981,-1.212763133,0.606595573,0.453546405,0.944543309,0.136249803,-2.358068791
GHA,1981,-0.864947364,1.363765814,-0.694110879,2.776028477,0.745807063,-2.358068791
GIN,1981,-1.609909539,3.021968643,-1.002623311,1.562224319,0.543676206,-2.358068791
GMB,1981,-1.544427264,2.240568954,-0.789644431,2.663486014,0.602371142,-2.358068791
GNB,1981,-1.64682752,2.937385927,-1.254451905,2.732461987,0.148989744,-2.358068791
GNQ,1981,-1.174129693,1.941830774,-0.847493313,2.269538628,0.739878586,-2.358068791
GRD,1981,-0.217687299,-0.598819451,-0.622863999,-0.384355289,0.848799541,-2.358068791
GTM,1981,-1.008583341,0.635368042,-0.350916004,0.072553164,1.063730425,-2.358068791
GUY,1981,0.23024029,-0.09454407,-0.738561763,-0.397638601,1.411170615,-2.358068791
HND,1981,-0.816973905,0.224981772,-0.512767406,-0.350957992,0.113402147,-2.358068791
HTI,1981,-1.183735948,1.668148251,-1.178948136,0.404954592,1.653191118,-2.358068791
HUN,1981,0.82399606,-0.803255416,0.783880995,0.449684902,1.374747944,-2.358068791
IDN,1981,-0.609624096,0.630825021,-1.078261508,1.49578448,0.954843589,-2.358068791
IND,1981,-1.159341495,1.324392962,-1.051286274,1.218216985,1.64417009,-2.358068791
IRN,1981,-1.297015612,0.371872798,0.159328159,-1.026673809,1.108727691,-2.358068791
IRQ,1981,-1.297679417,-0.080915006,0.865030743,0.029733962,0.321504466,-2.358068791
JAM,1981,0.369354193,-0.541274513,0.018268299,-0.862288951,0.364711894,-2.358068791
JOR,1981,-0.542121124,-0.34592459,0.653575381,0.490996536,0.102546171,-2.358068791
KEN,1981,-0.757727744,0.477876632,-1.39793147,2.293463772,0.100273097,-2.358068791
KHM,1981,-1.266558391,1.25624764,-1.529626174,0.307456351,1.221475573,-2.358068791
KIR,1981,-0.344676179,0.626281999,-0.642848973,1.054666005,0.876138945,-2.358068791
KNA,1981,0.406348784,-0.421641615,-0.498473221,-0.707692521,0.879799919,-2.358068791
KWT,1981,-0.510888298,-0.644249665,2.18632429,-0.474667803,0.14557403,-2.358068791
LAO,1981,-1.377377989,1.892270643,-1.533748635,1.25334482,0.381586481,-2.358068791
LBN,1981,-0.309239396,-0.40801255,1.255589109,-0.482781033,0.466764773,-2.358068791
LBR,1981,-1.450263864,2.508607219,-0.480146193,1.332461192,1.657602693,-2.358068791
LBY,1981,-1.360714347,-0.123316539,1.101086442,-0.629774415,0.437378569,-2.358068791
LCA,1981,-0.074366518,-0.676050816,-0.899158503,-0.635546234,0.964148498,-2.358068791
LKA,1981,-0.221181382,-0.492815617,-1.263727442,0.658230729,0.899153252,-2.358068791
LSO,1981,-0.530263312,0.639911064,-1.584831303,1.937820266,1.147492567,-2.358068791
MAR,1981,-1.469211775,0.788316431,-0.222178718,1.147031358,0.726164014,-2.358068791
MDG,1981,-1.104844368,1.498542117,-1.249746922,1.072659272,0.190059665,-2.358068791
MDV,1981,-1.29270702,1.000324099,-1.074228666,0.345156756,0.061864751,-2.358068791
MEX,1981,-0.412419783,-0.106658794,0.895814772,0.088134377,0.280062012,-2.358068791
MHL,1981,-0.260389377,-0.18843318,0.535368294,1.987825707,1.173862253,-2.358068791
MLI,1981,-1.68177823,3.29606427,-1.25055349,1.929468709,0.187794155,-2.358068791
MMR,1981,-1.08385568,0.950350863,-1.025968987,0.882030306,1.489903624,-2.358068791
MNG,1981,-0.033030825,1.236561214,0.25979074,1.027706791,0.18716832,-2.358068791
MOZ,1981,-1.566689505,2.915964809,-1.470970724,2.116996582,0.390951286,-2.358068791
MRT,1981,-1.211428918,1.289563131,-0.809629405,1.722432361,0.147784318,-2.358068791
MUS,1981,-0.365606992,-0.577618684,-0.212589515,-0.676497748,0.121910421,-2.358068791
MWI,1981,-1.279782827,2.652469565,-1.685517931,2.022974598,0.113416354,-2.358068791
MYS,1981,-0.448008674,-0.715423668,-0.182432817,-1.038248394,0.580974852,-2.358068791
NER,1981,-1.723013082,3.721593946,-1.48867042,2.077808037,1.671647863,-2.358068791
