country,year,mcv1
AFG,2019,0.64
AGO,2019,0.51
ALB,2019,0.95
ARG,2019,0.86
ARM,2019,0.95
AZE,2019,0.98
BDI,2019,0.92
BEN,2019,0.68
BFA,2019,0.88
BGD,2019,0.97
BGR,2019,0.95
BIH,2019,0.68
BLR,2019,0.98
BLZ,2019,0.96
BOL,2019,0.79
BRA,2019,0.91
BTN,2019,0.97
BWA,2019,0.97
CAF,2019,0.41
CHN,2019,0.99
CIV,2019,0.73
CMR,2019,0.6
COD,2019,0.65
COG,2019,0.73
COL,2019,0.95
COM,2019,0.9
CPV,2019,0.98
CRI,2019,0.95
CUB,2019,0.99
DJI,2019,0.83
DMA,2019,0.92
DOM,2019,0.96
DZA,2019,0.8
ECU,2019,0.83
EGY,2019,0.95
ERI,2019,0.93
ETH,2019,0.58
FJI,2019,0.96
FSM,2019,0.78
GAB,2019,0.62
GEO,2019,0.99
GHA,2019,0.92
GIN,2019,0.47
GMB,2019,0.85
GNB,2019,0.79
GNQ,2019,0.53
GRD,2019,0.94
GTM,2019,0.9
GUY,2019,0.98
HND,2019,0.89
HTI,2019,0.65
IDN,2019,0.88
IND,2019,0.95
IRN,2019,0.99
IRQ,2019,0.82
JAM,2019,0.94
JOR,2019,0.87
KAZ,2019,0.99
KEN,2019,0.89
KGZ,2019,0.96
KHM,2019,0.84
KIR,2019,0.94
LAO,2019,0.83
LBN,2019,0.82
LBR,2019,0.68
LBY,2019,0.73
LCA,2019,0.96
LKA,2019,0.99
LSO,2019,0.9
MAR,2019,0.99
MDA,2019,0.97
MDG,2019,0.55
MDV,2019,0.99
MEX,2019,0.73
MHL,2019,0.85
MKD,2019,0.75
MLI,2019,0.7
MMR,2019,0.84
MNE,2019,0.33
MNG,2019,0.98
MOZ,2019,0.87
MRT,2019,0.75
MWI,2019,0.92
MYS,2019,0.97
NAM,2019,0.8
NER,2019,0.79
NGA,2019,0.57
NIC,2019,0.99
NPL,2019,0.92
PAK,2019,0.81
PER,2019,0.85
PHL,2019,0.75
PNG,2019,0.37
PRK,2019,0.98
PRY,2019,0.87
PSE,2019,0.99
RUS,2019,0.98
RWA,2019,0.96
SDN,2019,0.9
SEN,2019,0.89
SLB,2019,0.81
SLE,2019,0.93
SLV,2019,0.82
SOM,2019,0.46
SRB,2019,0.87
SSD,2019,0.49
STP,2019,0.95
SUR,2019,0.64
SWZ,2019,0.81
SYR,2019,0.65
TCD,2019,0.41
TGO,2019,0.75
THA,2019,0.96
TJK,2019,0.98
TKM,2019,0.99
TLS,2019,0.85
TON,2019,0.99
TUN,2019,0.98
TUR,2019,0.97
TUV,2019,0.96
TZA,2019,0.88
UGA,2019,0.87
UKR,2019,0.93
UZB,2019,0.98
VCT,2019,0.99
VEN,2019,0.93
VNM,2019,0.95
VUT,2019,0.8
WSM,2019,0.96
YEM,2019,0.67
ZAF,2019,0.83
ZMB,2019,0.93
ZWE,2019,0.85
