country,year,u5mr
AFG,2019,60.1
AGO,2019,74.2
ALB,2019,9.7
ARG,2019,9.1
ARM,2019,11.5
AZE,2019,20.4
BDI,2019,56.6
BEN,2019,88.4
BFA,2019,87.8
BGD,2019,30.7
BGR,2019,6.6
BIH,2019,5.9
BLR,2019,3.1
BLZ,2019,12.3
BOL,2019,26.3
BRA,2019,14.9
BTN,2019,28.6
BWA,2019,45.9
CAF,2019,106.6
CHN,2019,7.9
CIV,2019,80.3
CMR,2019,74.7
COD,2019,83.8
COG,2019,52.5
COL,2019,13.6
COM,2019,63.5
CPV,2019,14.9
CRI,2019,8.2
CUB,2019,5.2
DJI,2019,57.8
DMA,2019,35
DOM,2019,34.4
DZA,2019,23.3
ECU,2019,13.4
EGY,2019,20.1
ERI,2019,40.6
ETH,2019,50.8
FJI,2019,26.9
FSM,2019,25.4
GAB,2019,43
GEO,2019,9.5
GHA,2019,46.4
GIN,2019,98
GMB,2019,51.2
GNB,2019,79.6
GNQ,2019,81.2
GRD,2019,16.5
GTM,2019,24.5
GUY,2019,29.3
HND,2019,16.8
HTI,2019,62.2
IDN,2019,23.8
IND,2019,34.4
IRN,2019,13.4
IRQ,2019,26.1
JAM,2019,13.7
JOR,2019,15.5
KAZ,2019,10.1
KEN,2019,43
KGZ,2019,18.3
KHM,2019,26.6
KIR,2019,51.2
LAO,2019,45.7
LBN,2019,7.2
LBR,2019,80.4
LBY,2019,11.5
LCA,2019,24
LKA,2019,7.2
LSO,2019,90.9
MAR,2019,19.5
MDA,2019,14.8
MDG,2019,51.9
MDV,2019,7
MEX,2019,14.1
MHL,2019,31.6
MKD,2019,6.8
MLI,2019,94.2
MMR,2019,45.2
MNE,2019,2.6
MNG,2019,16
MOZ,2019,72.9
MRT,2019,73
MWI,2019,40.6
MYS,2019,8.6
NAM,2019,41.9
NER,2019,80.3
NGA,2019,116.9
NIC,2019,16.6
NPL,2019,29.3
PAK,2019,67.3
PER,2019,13.3
PHL,2019,27.1
PNG,2019,45.3
PRK,2019,17.3
PRY,2019,19.5
PSE,2019,17
RUS,2019,5.8
RWA,2019,41.9
SDN,2019,58.4
SEN,2019,39.7
SLB,2019,20
SLE,2019,111.9
SLV,2019,13.3
SOM,2019,118.3
SRB,2019,5.7
SSD,2019,97.9
STP,2019,17
SUR,2019,18.1
SWZ,2019,48
SYR,2019,22.2
TCD,2019,113.5
TGO,2019,66.5
THA,2019,9
TJK,2019,33.3
TKM,2019,42.4
TLS,2019,43.7
TON,2019,11.7
TUN,2019,16.9
TUR,2019,10.1
TUV,2019,22.7
TZA,2019,50.5
UGA,2019,45.3
UKR,2019,8.4
UZB,2019,14.8
VCT,2019,14.6
VEN,2019,24.2
VNM,2019,21.1
VUT,2019,25.6
WSM,2019,17.4
YEM,2019,61.5
ZAF,2019,33
ZMB,2019,64.1
ZWE,2019,54.2
