country,year,vitA
AFG,2019,0.14
AGO,2019,0.13
ALB,2019,0.15
ARG,2019,0.05
ARM,2019,0
AZE,2019,0.06
BDI,2019,0.16
BEN,2019,0.23
BFA,2019,0.22
BGD,2019,0.08
BGR,2019,0.13
BIH,2019,0.13
BLR,2019,0.01
BLZ,2019,0.04
BOL,2019,0.05
BRA,2019,0.13
BTN,2019,0.1
BWA,2019,0.13
CAF,2019,0.21
CHN,2019,0.05
CIV,2019,0.19
CMR,2019,0.21
COD,2019,0.21
COG,2019,0.22
COL,2019,0.04
COM,2019,0.19
CPV,2019,0.01
CRI,2019,0.04
CUB,2019,0.02
DJI,2019,0.05
DMA,2019,0.04
DOM,2019,0.06
DZA,2019,0.04
ECU,2019,0.08
EGY,2019,0.03
ERI,2019,0.18
ETH,2019,0.26
FJI,2019,0.08
FSM,2019,0.17
GAB,2019,0.11
GEO,2019,0.06
GHA,2019,0.21
GIN,2019,0.19
GMB,2019,0.21
GNB,2019,0.26
GNQ,2019,0.12
GRD,2019,0.05
GTM,2019,0.06
GUY,2019,0.06
HND,2019,0.05
HTI,2019,0.13
IDN,2019,0.15
IND,2019,0.19
IRN,2019,0.02
IRQ,2019,0.08
JAM,2019,0.03
JOR,2019,0.08
KAZ,2019,0.12
KEN,2019,0.23
KGZ,2019,0.07
KHM,2019,0.09
KIR,2019,0.19
LAO,2019,0.14
LBN,2019,0.04
LBR,2019,0.17
LBY,2019,0.04
LCA,2019,0.04
LKA,2019,0.09
LSO,2019,0.2
MAR,2019,0.11
MDA,2019,0.01
MDG,2019,0.18
MDV,2019,0.04
MEX,2019,0.12
MHL,2019,0.17
MKD,2019,0.12
MLI,2019,0.21
MMR,2019,0.09
MNE,2019,0.12
MNG,2019,0.11
MOZ,2019,0.2
MRT,2019,0.17
MWI,2019,0.19
MYS,2019,0.02
NAM,2019,0.07
NER,2019,0.22
NGA,2019,0.18
NIC,2019,0.03
NPL,2019,0.11
PAK,2019,0.13
PER,2019,0.07
PHL,2019,0.16
PNG,2019,0.06
PRK,2019,0.09
PRY,2019,0.14
PSE,2019,0.08
RUS,2019,0.01
RWA,2019,0.13
SDN,2019,0.09
SEN,2019,0.21
SLB,2019,0.11
SLE,2019,0.18
SLV,2019,0.09
SOM,2019,0.23
SRB,2019,0.14
SSD,2019,0.21
STP,2019,0.22
SUR,2019,0.05
SWZ,2019,0.13
SYR,2019,0.07
TCD,2019,0.23
TGO,2019,0.21
THA,2019,0.07
TJK,2019,0.12
TKM,2019,0.06
TLS,2019,0.11
TON,2019,0.1
TUN,2019,0.01
TUR,2019,0.07
TUV,2019,0.1
TZA,2019,0.14
UGA,2019,0.15
UKR,2019,0.01
UZB,2019,0.05
VCT,2019,0.05
VEN,2019,0.07
VNM,2019,0.07
VUT,2019,0.15
WSM,2019,0.11
YEM,2019,0.16
ZAF,2019,0.13
ZMB,2019,0.18
ZWE,2019,0.15
