country,year,mcv1
AFG,2020,0.61
AGO,2020,0.48
ALB,2020,0.9
ARG,2020,0.82
ARM,2020,0.9
AZE,2020,0.93
BDI,2020,0.87
BEN,2020,0.65
BFA,2020,0.84
BGD,2020,0.92
BGR,2020,0.9
BIH,2020,0.65
BLR,2020,0.93
BLZ,2020,0.91
BOL,2020,0.75
BRA,2020,0.86
BTN,2020,0.92
BWA,2020,0.92
CAF,2020,0.39
CHN,2020,0.94
CIV,2020,0.69
CMR,2020,0.57
COD,2020,0.62
COG,2020,0.69
COL,2020,0.9
COM,2020,0.86
CPV,2020,0.93
CRI,2020,0.9
CUB,2020,0.94
DJI,2020,0.79
DMA,2020,0.87
DOM,2020,0.91
DZA,2020,0.76
ECU,2020,0.79
EGY,2020,0.9
ERI,2020,0.88
ETH,2020,0.55
FJI,2020,0.91
FSM,2020,0.74
GAB,2020,0.59
GEO,2020,0.94
GHA,2020,0.87
GIN,2020,0.45
GMB,2020,0.81
GNB,2020,0.75
GNQ,2020,0.5
GRD,2020,0.89
GTM,2020,0.86
GUY,2020,0.93
HND,2020,0.85
HTI,2020,0.62
IDN,2020,0.84
IND,2020,0.9
IRN,2020,0.94
IRQ,2020,0.78
JAM,2020,0.89
JOR,2020,0.83
KAZ,2020,0.94
KEN,2020,0.85
KGZ,2020,0.91
KHM,2020,0.8
KIR,2020,0.89
LAO,2020,0.79
LBN,2020,0.78
LBR,2020,0.65
LBY,2020,0.69
LCA,2020,0.91
LKA,2020,0.94
LSO,2020,0.86
MAR,2020,0.94
MDA,2020,0.92
MDG,2020,0.52
MDV,2020,0.94
MEX,2020,0.69
MHL,2020,0.81
MKD,2020,0.71
MLI,2020,0.67
MMR,2020,0.8
MNE,2020,0.31
MNG,2020,0.93
MOZ,2020,0.83
MRT,2020,0.71
MWI,2020,0.87
MYS,2020,0.92
NAM,2020,0.76
NER,2020,0.75
NGA,2020,0.54
NIC,2020,0.94
NPL,2020,0.87
PAK,2020,0.77
PER,2020,0.81
PHL,2020,0.71
PNG,2020,0.35
PRK,2020,0.93
PRY,2020,0.83
PSE,2020,0.94
RUS,2020,0.93
RWA,2020,0.91
SDN,2020,0.86
SEN,2020,0.85
SLB,2020,0.77
SLE,2020,0.88
SLV,2020,0.78
SOM,2020,0.44
SRB,2020,0.83
SSD,2020,0.47
STP,2020,0.9
SUR,2020,0.61
SWZ,2020,0.77
SYR,2020,0.62
TCD,2020,0.39
TGO,2020,0.71
THA,2020,0.91
TJK,2020,0.93
TKM,2020,0.94
TLS,2020,0.81
TON,2020,0.94
TUN,2020,0.93
TUR,2020,0.92
TUV,2020,0.91
TZA,2020,0.84
UGA,2020,0.83
UKR,2020,0.88
UZB,2020,0.93
VCT,2020,0.94
VEN,2020,0.88
VNM,2020,0.9
VUT,2020,0.76
WSM,2020,0.91
YEM,2020,0.64
ZAF,2020,0.79
ZMB,2020,0.88
ZWE,2020,0.81
AFG,2021,0.61
AGO,2021,0.48
ALB,2021,0.9
ARG,2021,0.82
ARM,2021,0.9
AZE,2021,0.93
BDI,2021,0.87
BEN,2021,0.65
BFA,2021,0.84
BGD,2021,0.92
BGR,2021,0.9
BIH,2021,0.65
BLR,2021,0.93
BLZ,2021,0.91
BOL,2021,0.75
BRA,2021,0.86
BTN,2021,0.92
BWA,2021,0.92
CAF,2021,0.39
CHN,2021,0.94
CIV,2021,0.69
CMR,2021,0.57
COD,2021,0.62
COG,2021,0.69
COL,2021,0.9
COM,2021,0.86
CPV,2021,0.93
CRI,2021,0.9
CUB,2021,0.94
DJI,2021,0.79
DMA,2021,0.87
DOM,2021,0.91
DZA,2021,0.76
ECU,2021,0.79
EGY,2021,0.9
ERI,2021,0.88
ETH,2021,0.55
FJI,2021,0.91
FSM,2021,0.74
GAB,2021,0.59
GEO,2021,0.94
GHA,2021,0.87
GIN,2021,0.45
GMB,2021,0.81
GNB,2021,0.75
GNQ,2021,0.5
GRD,2021,0.89
GTM,2021,0.86
GUY,2021,0.93
HND,2021,0.85
HTI,2021,0.62
IDN,2021,0.84
IND,2021,0.9
IRN,2021,0.94
IRQ,2021,0.78
JAM,2021,0.89
JOR,2021,0.83
KAZ,2021,0.94
KEN,2021,0.85
KGZ,2021,0.91
KHM,2021,0.8
KIR,2021,0.89
LAO,2021,0.79
LBN,2021,0.78
LBR,2021,0.65
LBY,2021,0.69
LCA,2021,0.91
LKA,2021,0.94
LSO,2021,0.86
MAR,2021,0.94
MDA,2021,0.92
MDG,2021,0.52
MDV,2021,0.94
MEX,2021,0.69
MHL,2021,0.81
MKD,2021,0.71
MLI,2021,0.67
MMR,2021,0.8
MNE,2021,0.31
MNG,2021,0.93
MOZ,2021,0.83
MRT,2021,0.71
MWI,2021,0.87
MYS,2021,0.92
NAM,2021,0.76
NER,2021,0.75
NGA,2021,0.54
NIC,2021,0.94
NPL,2021,0.87
PAK,2021,0.77
PER,2021,0.81
PHL,2021,0.71
PNG,2021,0.35
PRK,2021,0.93
PRY,2021,0.83
PSE,2021,0.94
RUS,2021,0.93
RWA,2021,0.91
SDN,2021,0.86
SEN,2021,0.85
SLB,2021,0.77
SLE,2021,0.88
SLV,2021,0.78
SOM,2021,0.44
SRB,2021,0.83
SSD,2021,0.47
STP,2021,0.9
SUR,2021,0.61
SWZ,2021,0.77
SYR,2021,0.62
TCD,2021,0.39
TGO,2021,0.71
THA,2021,0.91
TJK,2021,0.93
TKM,2021,0.94
TLS,2021,0.81
TON,2021,0.94
TUN,2021,0.93
TUR,2021,0.92
TUV,2021,0.91
TZA,2021,0.84
UGA,2021,0.83
UKR,2021,0.88
UZB,2021,0.93
VCT,2021,0.94
VEN,2021,0.88
VNM,2021,0.9
VUT,2021,0.76
WSM,2021,0.91
YEM,2021,0.64
ZAF,2021,0.79
ZMB,2021,0.88
ZWE,2021,0.81
AFG,2022,0.62
AGO,2022,0.49
ALB,2022,0.92
ARG,2022,0.83
ARM,2022,0.92
AZE,2022,0.95
BDI,2022,0.89
BEN,2022,0.66
BFA,2022,0.85
BGD,2022,0.94
BGR,2022,0.92
BIH,2022,0.66
BLR,2022,0.95
BLZ,2022,0.93
BOL,2022,0.76
BRA,2022,0.88
BTN,2022,0.94
BWA,2022,0.94
CAF,2022,0.4
CHN,2022,0.96
CIV,2022,0.71
CMR,2022,0.58
COD,2022,0.63
COG,2022,0.71
COL,2022,0.92
COM,2022,0.87
CPV,2022,0.95
CRI,2022,0.92
CUB,2022,0.96
DJI,2022,0.8
DMA,2022,0.89
DOM,2022,0.93
DZA,2022,0.77
ECU,2022,0.8
EGY,2022,0.92
ERI,2022,0.9
ETH,2022,0.56
FJI,2022,0.93
FSM,2022,0.75
GAB,2022,0.6
GEO,2022,0.96
GHA,2022,0.89
GIN,2022,0.45
GMB,2022,0.82
GNB,2022,0.76
GNQ,2022,0.51
GRD,2022,0.91
GTM,2022,0.87
GUY,2022,0.95
HND,2022,0.86
HTI,2022,0.63
IDN,2022,0.85
IND,2022,0.92
IRN,2022,0.96
IRQ,2022,0.79
JAM,2022,0.91
JOR,2022,0.84
KAZ,2022,0.96
KEN,2022,0.86
KGZ,2022,0.93
KHM,2022,0.81
KIR,2022,0.91
LAO,2022,0.8
LBN,2022,0.79
LBR,2022,0.66
LBY,2022,0.71
LCA,2022,0.93
LKA,2022,0.96
LSO,2022,0.87
MAR,2022,0.96
MDA,2022,0.94
MDG,2022,0.53
MDV,2022,0.96
MEX,2022,0.71
MHL,2022,0.82
MKD,2022,0.73
MLI,2022,0.68
MMR,2022,0.81
MNE,2022,0.32
MNG,2022,0.95
MOZ,2022,0.84
MRT,2022,0.73
MWI,2022,0.89
MYS,2022,0.94
NAM,2022,0.77
NER,2022,0.76
NGA,2022,0.55
NIC,2022,0.96
NPL,2022,0.89
PAK,2022,0.78
PER,2022,0.82
PHL,2022,0.73
PNG,2022,0.36
PRK,2022,0.95
PRY,2022,0.84
PSE,2022,0.96
RUS,2022,0.95
RWA,2022,0.93
SDN,2022,0.87
SEN,2022,0.86
SLB,2022,0.78
SLE,2022,0.9
SLV,2022,0.79
SOM,2022,0.44
SRB,2022,0.84
SSD,2022,0.47
STP,2022,0.92
SUR,2022,0.62
SWZ,2022,0.78
SYR,2022,0.63
TCD,2022,0.4
TGO,2022,0.73
THA,2022,0.93
TJK,2022,0.95
TKM,2022,0.96
TLS,2022,0.82
TON,2022,0.96
TUN,2022,0.95
TUR,2022,0.94
TUV,2022,0.93
TZA,2022,0.85
UGA,2022,0.84
UKR,2022,0.9
UZB,2022,0.95
VCT,2022,0.96
VEN,2022,0.9
VNM,2022,0.92
VUT,2022,0.77
WSM,2022,0.93
YEM,2022,0.65
ZAF,2022,0.8
ZMB,2022,0.9
ZWE,2022,0.82
AFG,2023,0.63
AGO,2023,0.5
ALB,2023,0.93
ARG,2023,0.85
ARM,2023,0.93
AZE,2023,0.96
BDI,2023,0.9
BEN,2023,0.67
BFA,2023,0.87
BGD,2023,0.95
BGR,2023,0.93
BIH,2023,0.67
BLR,2023,0.96
BLZ,2023,0.94
BOL,2023,0.78
BRA,2023,0.89
BTN,2023,0.95
BWA,2023,0.95
CAF,2023,0.4
CHN,2023,0.97
CIV,2023,0.72
CMR,2023,0.59
COD,2023,0.64
COG,2023,0.72
COL,2023,0.93
COM,2023,0.89
CPV,2023,0.96
CRI,2023,0.93
CUB,2023,0.97
DJI,2023,0.82
DMA,2023,0.9
DOM,2023,0.94
DZA,2023,0.79
ECU,2023,0.82
EGY,2023,0.93
ERI,2023,0.91
ETH,2023,0.57
FJI,2023,0.94
FSM,2023,0.77
GAB,2023,0.61
GEO,2023,0.97
GHA,2023,0.9
GIN,2023,0.46
GMB,2023,0.84
GNB,2023,0.78
GNQ,2023,0.52
GRD,2023,0.92
GTM,2023,0.89
GUY,2023,0.96
HND,2023,0.88
HTI,2023,0.64
IDN,2023,0.87
IND,2023,0.93
IRN,2023,0.97
IRQ,2023,0.81
JAM,2023,0.92
JOR,2023,0.86
KAZ,2023,0.97
KEN,2023,0.88
KGZ,2023,0.94
KHM,2023,0.83
KIR,2023,0.92
LAO,2023,0.82
LBN,2023,0.81
LBR,2023,0.67
LBY,2023,0.72
LCA,2023,0.94
LKA,2023,0.97
LSO,2023,0.89
MAR,2023,0.97
MDA,2023,0.95
MDG,2023,0.54
MDV,2023,0.97
MEX,2023,0.72
MHL,2023,0.84
MKD,2023,0.74
MLI,2023,0.69
MMR,2023,0.83
MNE,2023,0.32
MNG,2023,0.96
MOZ,2023,0.86
MRT,2023,0.74
MWI,2023,0.9
MYS,2023,0.95
NAM,2023,0.79
NER,2023,0.78
NGA,2023,0.56
NIC,2023,0.97
NPL,2023,0.9
PAK,2023,0.8
PER,2023,0.84
PHL,2023,0.74
PNG,2023,0.36
PRK,2023,0.96
PRY,2023,0.86
PSE,2023,0.97
RUS,2023,0.96
RWA,2023,0.94
SDN,2023,0.89
SEN,2023,0.88
SLB,2023,0.8
SLE,2023,0.91
SLV,2023,0.81
SOM,2023,0.45
SRB,2023,0.86
SSD,2023,0.48
STP,2023,0.93
SUR,2023,0.63
SWZ,2023,0.8
SYR,2023,0.64
TCD,2023,0.4
TGO,2023,0.74
THA,2023,0.94
TJK,2023,0.96
TKM,2023,0.97
TLS,2023,0.84
TON,2023,0.97
TUN,2023,0.96
TUR,2023,0.95
TUV,2023,0.94
TZA,2023,0.87
UGA,2023,0.86
UKR,2023,0.91
UZB,2023,0.96
VCT,2023,0.97
VEN,2023,0.91
VNM,2023,0.93
VUT,2023,0.79
WSM,2023,0.94
YEM,2023,0.66
ZAF,2023,0.82
ZMB,2023,0.91
ZWE,2023,0.84
AFG,2024,0.64
AGO,2024,0.51
ALB,2024,0.95
ARG,2024,0.86
ARM,2024,0.95
AZE,2024,0.98
BDI,2024,0.92
BEN,2024,0.68
BFA,2024,0.88
BGD,2024,0.97
BGR,2024,0.95
BIH,2024,0.68
BLR,2024,0.98
BLZ,2024,0.96
BOL,2024,0.79
BRA,2024,0.91
BTN,2024,0.97
BWA,2024,0.97
CAF,2024,0.41
CHN,2024,0.99
CIV,2024,0.73
CMR,2024,0.6
COD,2024,0.65
COG,2024,0.73
COL,2024,0.95
COM,2024,0.9
CPV,2024,0.98
