country,year,mcv1
AFG,2020,0.66
AGO,2020,0.44
ALB,2020,0.91
ARG,2020,0.77
ARM,2020,0.94
AZE,2020,0.82
BDI,2020,0.9
BEN,2020,0.65
BFA,2020,0.88
BGD,2020,0.97
BGR,2020,0.88
BIH,2020,0.68
BLR,2020,0.97
BLZ,2020,0.82
BOL,2020,0.74
BRA,2020,0.79
BTN,2020,0.93
BWA,2020,0.87
CAF,2020,0.41
CHN,2020,0.99
CIV,2020,0.66
CMR,2020,0.62
COD,2020,0.62
COG,2020,0.68
COL,2020,0.9
COM,2020,0.89
CPV,2020,0.95
CRI,2020,0.95
CUB,2020,0.98
DJI,2020,0.62
DMA,2020,0.92
DOM,2020,0.82
DZA,2020,0.8
ECU,2020,0.81
EGY,2020,0.94
ERI,2020,0.93
ETH,2020,0.6
FJI,2020,0.96
FSM,2020,0.79
GAB,2020,0.53
GEO,2020,0.91
GHA,2020,0.88
GIN,2020,0.47
GMB,2020,0.82
GNB,2020,0.72
GNQ,2020,0.53
GRD,2020,0.83
GTM,2020,0.88
GUY,2020,0.98
HND,2020,0.82
HTI,2020,0.65
IDN,2020,0.76
IND,2020,0.89
IRN,2020,0.99
IRQ,2020,0.76
JAM,2020,0.93
JOR,2020,0.76
KAZ,2020,0.93
KEN,2020,0.88
KGZ,2020,0.92
KHM,2020,0.84
KIR,2020,0.82
LAO,2020,0.79
LBN,2020,0.74
LBR,2020,0.61
LBY,2020,0.73
LCA,2020,0.89
LKA,2020,0.96
LSO,2020,0.9
MAR,2020,0.99
MDA,2020,0.84
MDG,2020,0.5
MDV,2020,0.99
MEX,2020,0.92
MHL,2020,0.89
MKD,2020,0.63
MLI,2020,0.62
MMR,2020,0.91
MNE,2020,0.24
MNG,2020,0.97
MOZ,2020,0.81
MRT,2020,0.7
MWI,2020,0.9
MYS,2020,0.95
NAM,2020,0.9
NER,2020,0.79
NGA,2020,0.59
NIC,2020,0.97
NPL,2020,0.87
PAK,2020,0.83
PER,2020,0.77
PHL,2020,0.72
PNG,2020,0.47
PRK,2020,0.99
PRY,2020,0.8
PSE,2020,0.99
RUS,2020,0.97
RWA,2020,0.94
SDN,2020,0.86
SEN,2020,0.88
SLB,2020,0.81
SLE,2020,0.87
SLV,2020,0.71
SOM,2020,0.46
SRB,2020,0.78
SSD,2020,0.49
STP,2020,0.86
SUR,2020,0.45
SWZ,2020,0.76
SYR,2020,0.59
TCD,2020,0.47
TGO,2020,0.69
THA,2020,0.96
TJK,2020,0.98
TKM,2020,0.98
TLS,2020,0.79
TON,2020,0.99
TUN,2020,0.98
TUR,2020,0.95
TUV,2020,0.93
TZA,2020,0.84
UGA,2020,0.89
UKR,2020,0.85
UZB,2020,0.99
VCT,2020,0.99
VEN,2020,0.76
VNM,2020,0.97
VUT,2020,0.78
WSM,2020,0.66
YEM,2020,0.68
ZAF,2020,0.84
ZMB,2020,0.96
ZWE,2020,0.85
AFG,2021,0.63
AGO,2021,0.36
ALB,2021,0.87
ARG,2021,0.81
ARM,2021,0.94
AZE,2021,0.93
BDI,2021,0.9
BEN,2021,0.68
BFA,2021,0.88
BGD,2021,0.97
BGR,2021,0.89
BIH,2021,0.68
BLR,2021,0.98
BLZ,2021,0.79
BOL,2021,0.75
BRA,2021,0.73
BTN,2021,0.97
BWA,2021,0.97
CAF,2021,0.41
CHN,2021,0.99
CIV,2021,0.68
CMR,2021,0.62
COD,2021,0.55
COG,2021,0.68
COL,2021,0.86
COM,2021,0.82
CPV,2021,0.95
CRI,2021,0.89
CUB,2021,0.99
DJI,2021,0.5
DMA,2021,0.92
DOM,2021,0.88
DZA,2021,0.8
ECU,2021,0.65
EGY,2021,0.96
ERI,2021,0.93
ETH,2021,0.54
FJI,2021,0.96
FSM,2021,0.64
GAB,2021,0.64
GEO,2021,0.9
GHA,2021,0.94
GIN,2021,0.47
GMB,2021,0.79
GNB,2021,0.63
GNQ,2021,0.53
GRD,2021,0.83
GTM,2021,0.81
GUY,2021,0.94
HND,2021,0.81
HTI,2021,0.65
IDN,2021,0.72
IND,2021,0.89
IRN,2021,0.99
IRQ,2021,0.75
JAM,2021,0.88
JOR,2021,0.76
KAZ,2021,0.97
KEN,2021,0.89
KGZ,2021,0.93
KHM,2021,0.84
KIR,2021,0.8
LAO,2021,0.73
LBN,2021,0.67
LBR,2021,0.58
LBY,2021,0.73
LCA,2021,0.77
LKA,2021,0.97
LSO,2021,0.9
MAR,2021,0.99
MDA,2021,0.83
MDG,2021,0.39
MDV,2021,0.99
MEX,2021,0.99
MHL,2021,0.85
MKD,2021,0.7
MLI,2021,0.7
MMR,2021,0.44
MNE,2021,0.18
MNG,2021,0.95
MOZ,2021,0.84
MRT,2021,0.63
MWI,2021,0.9
MYS,2021,0.96
NAM,2021,0.9
NER,2021,0.8
NGA,2021,0.59
NIC,2021,0.83
NPL,2021,0.9
PAK,2021,0.81
PER,2021,0.78
PHL,2021,0.57
PNG,2021,0.38
PRK,2021,0.42
PRY,2021,0.68
PSE,2021,0.98
RUS,2021,0.97
RWA,2021,0.87
SDN,2021,0.81
SEN,2021,0.87
SLB,2021,0.67
SLE,2021,0.87
SLV,2021,0.86
SOM,2021,0.46
SRB,2021,0.78
SSD,2021,0.49
STP,2021,0.77
SUR,2021,0.58
SWZ,2021,0.8
SYR,2021,0.59
TCD,2021,0.55
TGO,2021,0.7
THA,2021,0.96
TJK,2021,0.97
TKM,2021,0.97
TLS,2021,0.79
TON,2021,0.99
TUN,2021,0.95
TUR,2021,0.96
TUV,2021,0.93
TZA,2021,0.76
UGA,2021,0.9
UKR,2021,0.88
UZB,2021,0.99
VCT,2021,0.99
VEN,2021,0.68
VNM,2021,0.89
VUT,2021,0.5
WSM,2021,0.62
YEM,2021,0.71
ZAF,2021,0.87
ZMB,2021,0.9
ZWE,2021,0.85
AFG,2022,0.64
AGO,2022,0.36
ALB,2022,0.88
ARG,2022,0.82
ARM,2022,0.95
AZE,2022,0.94
BDI,2022,0.91
BEN,2022,0.69
BFA,2022,0.89
BGD,2022,0.97
BGR,2022,0.9
BIH,2022,0.69
BLR,2022,0.98
BLZ,2022,0.8
BOL,2022,0.76
BRA,2022,0.74
BTN,2022,0.97
BWA,2022,0.97
CAF,2022,0.41
CHN,2022,0.99
CIV,2022,0.69
CMR,2022,0.63
COD,2022,0.56
COG,2022,0.69
COL,2022,0.87
COM,2022,0.83
CPV,2022,0.96
CRI,2022,0.9
CUB,2022,0.99
DJI,2022,0.51
DMA,2022,0.93
DOM,2022,0.89
DZA,2022,0.81
ECU,2022,0.66
EGY,2022,0.96
ERI,2022,0.94
ETH,2022,0.55
FJI,2022,0.96
FSM,2022,0.65
GAB,2022,0.65
GEO,2022,0.91
GHA,2022,0.95
GIN,2022,0.47
GMB,2022,0.8
GNB,2022,0.64
GNQ,2022,0.54
GRD,2022,0.84
GTM,2022,0.82
GUY,2022,0.95
HND,2022,0.82
HTI,2022,0.66
IDN,2022,0.73
IND,2022,0.9
IRN,2022,0.99
IRQ,2022,0.76
JAM,2022,0.89
JOR,2022,0.77
KAZ,2022,0.97
KEN,2022,0.9
KGZ,2022,0.94
KHM,2022,0.85
KIR,2022,0.81
LAO,2022,0.74
LBN,2022,0.68
LBR,2022,0.59
LBY,2022,0.74
LCA,2022,0.78
LKA,2022,0.97
LSO,2022,0.91
MAR,2022,0.99
MDA,2022,0.84
MDG,2022,0.39
MDV,2022,0.99
MEX,2022,0.99
MHL,2022,0.86
MKD,2022,0.71
MLI,2022,0.71
MMR,2022,0.44
MNE,2022,0.18
MNG,2022,0.96
MOZ,2022,0.85
MRT,2022,0.64
MWI,2022,0.91
MYS,2022,0.96
NAM,2022,0.91
NER,2022,0.81
NGA,2022,0.6
NIC,2022,0.84
NPL,2022,0.91
PAK,2022,0.82
PER,2022,0.79
PHL,2022,0.58
PNG,2022,0.38
PRK,2022,0.42
PRY,2022,0.69
PSE,2022,0.98
RUS,2022,0.97
RWA,2022,0.88
SDN,2022,0.82
SEN,2022,0.88
SLB,2022,0.68
SLE,2022,0.88
SLV,2022,0.87
SOM,2022,0.46
SRB,2022,0.79
SSD,2022,0.49
STP,2022,0.78
SUR,2022,0.59
SWZ,2022,0.81
SYR,2022,0.6
TCD,2022,0.56
TGO,2022,0.71
THA,2022,0.96
TJK,2022,0.97
TKM,2022,0.97
TLS,2022,0.8
TON,2022,0.99
TUN,2022,0.96
TUR,2022,0.96
TUV,2022,0.94
TZA,2022,0.77
UGA,2022,0.91
UKR,2022,0.89
UZB,2022,0.99
VCT,2022,0.99
VEN,2022,0.69
VNM,2022,0.9
VUT,2022,0.51
WSM,2022,0.63
YEM,2022,0.72
ZAF,2022,0.88
ZMB,2022,0.91
ZWE,2022,0.86
AFG,2023,0.64
AGO,2023,0.37
ALB,2023,0.89
ARG,2023,0.83
ARM,2023,0.96
AZE,2023,0.95
BDI,2023,0.92
BEN,2023,0.69
BFA,2023,0.9
BGD,2023,0.97
BGR,2023,0.91
BIH,2023,0.69
BLR,2023,0.98
BLZ,2023,0.81
BOL,2023,0.77
BRA,2023,0.74
BTN,2023,0.97
BWA,2023,0.97
CAF,2023,0.42
CHN,2023,0.99
CIV,2023,0.69
CMR,2023,0.63
COD,2023,0.56
COG,2023,0.69
COL,2023,0.88
COM,2023,0.84
CPV,2023,0.96
CRI,2023,0.91
CUB,2023,0.99
DJI,2023,0.51
DMA,2023,0.94
DOM,2023,0.9
DZA,2023,0.82
ECU,2023,0.66
EGY,2023,0.96
ERI,2023,0.95
ETH,2023,0.55
FJI,2023,0.96
FSM,2023,0.65
GAB,2023,0.65
GEO,2023,0.92
GHA,2023,0.96
GIN,2023,0.48
GMB,2023,0.81
GNB,2023,0.64
GNQ,2023,0.54
GRD,2023,0.85
GTM,2023,0.83
GUY,2023,0.96
HND,2023,0.83
HTI,2023,0.66
IDN,2023,0.73
IND,2023,0.91
IRN,2023,0.99
IRQ,2023,0.77
JAM,2023,0.9
JOR,2023,0.78
KAZ,2023,0.97
KEN,2023,0.91
KGZ,2023,0.95
KHM,2023,0.86
KIR,2023,0.82
LAO,2023,0.74
LBN,2023,0.68
LBR,2023,0.59
LBY,2023,0.74
LCA,2023,0.79
LKA,2023,0.97
LSO,2023,0.92
MAR,2023,0.99
MDA,2023,0.85
MDG,2023,0.4
MDV,2023,0.99
MEX,2023,0.99
MHL,2023,0.87
MKD,2023,0.71
MLI,2023,0.71
MMR,2023,0.45
MNE,2023,0.18
MNG,2023,0.96
MOZ,2023,0.86
MRT,2023,0.64
MWI,2023,0.92
MYS,2023,0.96
NAM,2023,0.92
NER,2023,0.82
NGA,2023,0.6
NIC,2023,0.85
NPL,2023,0.92
PAK,2023,0.83
PER,2023,0.8
PHL,2023,0.58
PNG,2023,0.39
PRK,2023,0.43
PRY,2023,0.69
PSE,2023,0.98
RUS,2023,0.97
RWA,2023,0.89
SDN,2023,0.83
SEN,2023,0.89
SLB,2023,0.68
SLE,2023,0.89
SLV,2023,0.88
SOM,2023,0.47
SRB,2023,0.8
SSD,2023,0.5
STP,2023,0.79
SUR,2023,0.59
SWZ,2023,0.82
SYR,2023,0.6
TCD,2023,0.56
TGO,2023,0.71
THA,2023,0.96
TJK,2023,0.97
TKM,2023,0.97
TLS,2023,0.81
TON,2023,0.99
TUN,2023,0.96
TUR,2023,0.96
TUV,2023,0.95
TZA,2023,0.78
UGA,2023,0.92
UKR,2023,0.9
UZB,2023,0.99
VCT,2023,0.99
VEN,2023,0.69
VNM,2023,0.91
VUT,2023,0.51
WSM,2023,0.63
YEM,2023,0.72
ZAF,2023,0.89
ZMB,2023,0.92
ZWE,2023,0.87
AFG,2024,0.65
AGO,2024,0.37
ALB,2024,0.9
ARG,2024,0.83
ARM,2024,0.96
AZE,2024,0.96
BDI,2024,0.93
BEN,2024,0.7
BFA,2024,0.91
BGD,2024,0.97
BGR,2024,0.92
BIH,2024,0.7
BLR,2024,0.98
BLZ,2024,0.81
BOL,2024,0.77
BRA,2024,0.75
BTN,2024,0.97
BWA,2024,0.97
CAF,2024,0.42
CHN,2024,0.99
CIV,2024,0.7
CMR,2024,0.64
COD,2024,0.57
COG,2024,0.7
COL,2024,0.89
COM,2024,0.84
CPV,2024,0.96
CRI,2024,0.92
CUB,2024,0.99
DJI,2024,0.52
DMA,2024,0.95
DOM,2024,0.91
DZA,2024,0.82
ECU,2024,0.67
EGY,2024,0.96
ERI,2024,0.96
ETH,2024,0.56
FJI,2024,0.96
FSM,2024,0.66
GAB,2024,0.66
GEO,2024,0.93
GHA,2024,0.96
GIN,2024,0.48
GMB,2024,0.81
GNB,2024,0.65
GNQ,2024,0.55
GRD,2024,0.86
GTM,2024,0.83
GUY,2024,0.96
HND,2024,0.83
HTI,2024,0.67
IDN,2024,0.74
IND,2024,0.92
IRN,2024,0.99
IRQ,2024,0.77
JAM,2024,0.91
JOR,2024,0.78
KAZ,2024,0.97
KEN,2024,0.92
KGZ,2024,0.96
KHM,2024,0.87
KIR,2024,0.82
LAO,2024,0.75
LBN,2024,0.69
LBR,2024,0.6
LBY,2024,0.75
LCA,2024,0.79
LKA,2024,0.97
LSO,2024,0.93
MAR,2024,0.99
MDA,2024,0.86
MDG,2024,0.4
MDV,2024,0.99
MEX,2024,0.99
MHL,2024,0.88
MKD,2024,0.72
MLI,2024,0.72
MMR,2024,0.45
MNE,2024,0.19
MNG,2024,0.96
MOZ,2024,0.87
MRT,2024,0.65
MWI,2024,0.93
MYS,2024,0.96
NAM,2024,0.93
NER,2024,0.82
NGA,2024,0.61
NIC,2024,0.86
NPL,2024,0.93
PAK,2024,0.83
PER,2024,0.8
PHL,2024,0.59
PNG,2024,0.39
PRK,2024,0.43
PRY,2024,0.7
PSE,2024,0.98
RUS,2024,0.97
RWA,2024,0.9
SDN,2024,0.83
SEN,2024,0.9
SLB,2024,0.69
SLE,2024,0.9
SLV,2024,0.89
SOM,2024,0.47
SRB,2024,0.8
SSD,2024,0.5
STP,2024,0.79
SUR,2024,0.6
SWZ,2024,0.82
SYR,2024,0.61
TCD,2024,0.57
TGO,2024,0.72
THA,2024,0.96
TJK,2024,0.97
TKM,2024,0.97
TLS,2024,0.81
TON,2024,0.99
TUN,2024,0.96
TUR,2024,0.96
TUV,2024,0.96
TZA,2024,0.78
UGA,2024,0.93
UKR,2024,0.91
UZB,2024,0.99
VCT,2024,0.99
VEN,2024,0.7
VNM,2024,0.92
VUT,2024,0.52
WSM,2024,0.64
YEM,2024,0.73
ZAF,2024,0.9
ZMB,2024,0.93
ZWE,2024,0.88
AFG,2025,0.66
AGO,2025,0.37
ALB,2025,0.91
ARG,2025,0.84
ARM,2025,0.96
AZE,2025,0.96
BDI,2025,0.94
BEN,2025,0.71
BFA,2025,0.92
BGD,2025,0.97
BGR,2025,0.93
BIH,2025,0.71
BLR,2025,0.98
BLZ,2025,0.82
BOL,2025,0.78
BRA,2025,0.76
BTN,2025,0.97
BWA,2025,0.97
CAF,2025,0.43
CHN,2025,0.99
CIV,2025,0.71
CMR,2025,0.65
COD,2025,0.57
COG,2025,0.71
COL,2025,0.89
COM,2025,0.85
CPV,2025,0.96
CRI,2025,0.93
CUB,2025,0.99
DJI,2025,0.52
DMA,2025,0.96
DOM,2025,0.92
DZA,2025,0.83
ECU,2025,0.68
EGY,2025,0.96
ERI,2025,0.96
ETH,2025,0.56
FJI,2025,0.96
FSM,2025,0.67
GAB,2025,0.67
GEO,2025,0.94
GHA,2025,0.96
GIN,2025,0.49
GMB,2025,0.82
GNB,2025,0.66
GNQ,2025,0.55
GRD,2025,0.86
GTM,2025,0.84
GUY,2025,0.96
HND,2025,0.84
HTI,2025,0.68
IDN,2025,0.75
IND,2025,0.93
IRN,2025,0.99
IRQ,2025,0.78
JAM,2025,0.92
JOR,2025,0.79
KAZ,2025,0.97
KEN,2025,0.93
KGZ,2025,0.96
KHM,2025,0.87
KIR,2025,0.83
LAO,2025,0.76
LBN,2025,0.7
LBR,2025,0.6
LBY,2025,0.76
LCA,2025,0.8
LKA,2025,0.97
LSO,2025,0.94
MAR,2025,0.99
MDA,2025,0.86
MDG,2025,0.41
MDV,2025,0.99
MEX,2025,0.99
MHL,2025,0.88
MKD,2025,0.73
MLI,2025,0.73
MMR,2025,0.46
MNE,2025,0.19
MNG,2025,0.96
MOZ,2025,0.87
MRT,2025,0.66
MWI,2025,0.94
MYS,2025,0.96
NAM,2025,0.94
NER,2025,0.83
NGA,2025,0.61
NIC,2025,0.86
NPL,2025,0.94
PAK,2025,0.84
PER,2025,0.81
PHL,2025,0.59
PNG,2025,0.4
PRK,2025,0.44
PRY,2025,0.71
PSE,2025,0.98
RUS,2025,0.97
RWA,2025,0.91
SDN,2025,0.84
SEN,2025,0.91
SLB,2025,0.7
SLE,2025,0.91
SLV,2025,0.89
SOM,2025,0.48
SRB,2025,0.81
SSD,2025,0.51
STP,2025,0.8
SUR,2025,0.6
SWZ,2025,0.83
SYR,2025,0.61
TCD,2025,0.57
TGO,2025,0.73
THA,2025,0.96
TJK,2025,0.97
TKM,2025,0.97
TLS,2025,0.82
TON,2025,0.99
TUN,2025,0.96
TUR,2025,0.96
TUV,2025,0.96
TZA,2025,0.79
UGA,2025,0.94
UKR,2025,0.92
UZB,2025,0.99
VCT,2025,0.99
VEN,2025,0.71
VNM,2025,0.93
VUT,2025,0.52
WSM,2025,0.65
YEM,2025,0.74
ZAF,2025,0.91
ZMB,2025,0.94
ZWE,2025,0.88
AFG,2026,0.66
AGO,2026,0.38
ALB,2026,0.91
ARG,2026,0.85
ARM,2026,0.96
