country,year,vitA
AFG,2020,0.16
AGO,2020,0.16
ALB,2020,0.17
ARG,2020,0.06
ARM,2020,0
AZE,2020,0.07
BDI,2020,0.19
BEN,2020,0.27
BFA,2020,0.26
BGD,2020,0.1
BGR,2020,0.16
BIH,2020,0.16
BLR,2020,0.01
BLZ,2020,0.04
BOL,2020,0.06
BRA,2020,0.16
BTN,2020,0.12
BWA,2020,0.15
CAF,2020,0.24
CHN,2020,0.06
CIV,2020,0.22
CMR,2020,0.24
COD,2020,0.24
COG,2020,0.26
COL,2020,0.05
COM,2020,0.22
CPV,2020,0.01
CRI,2020,0.05
CUB,2020,0.02
DJI,2020,0.06
DMA,2020,0.04
DOM,2020,0.08
DZA,2020,0.05
ECU,2020,0.09
EGY,2020,0.04
ERI,2020,0.21
ETH,2020,0.3
FJI,2020,0.09
FSM,2020,0.2
GAB,2020,0.13
GEO,2020,0.07
GHA,2020,0.25
GIN,2020,0.23
GMB,2020,0.25
GNB,2020,0.31
GNQ,2020,0.14
GRD,2020,0.06
GTM,2020,0.07
GUY,2020,0.07
HND,2020,0.06
HTI,2020,0.15
IDN,2020,0.17
IND,2020,0.23
IRN,2020,0.03
IRQ,2020,0.09
JAM,2020,0.04
JOR,2020,0.1
KAZ,2020,0.14
KEN,2020,0.27
KGZ,2020,0.08
KHM,2020,0.1
KIR,2020,0.23
LAO,2020,0.17
LBN,2020,0.05
LBR,2020,0.2
LBY,2020,0.05
LCA,2020,0.05
LKA,2020,0.1
LSO,2020,0.24
MAR,2020,0.13
MDA,2020,0.02
MDG,2020,0.21
MDV,2020,0.04
MEX,2020,0.14
MHL,2020,0.2
MKD,2020,0.14
MLI,2020,0.25
MMR,2020,0.1
MNE,2020,0.15
MNG,2020,0.13
MOZ,2020,0.23
MRT,2020,0.19
MWI,2020,0.23
MYS,2020,0.02
NAM,2020,0.09
NER,2020,0.26
NGA,2020,0.21
NIC,2020,0.03
NPL,2020,0.13
PAK,2020,0.15
PER,2020,0.08
PHL,2020,0.19
PNG,2020,0.07
PRK,2020,0.1
PRY,2020,0.16
PSE,2020,0.09
RUS,2020,0.01
RWA,2020,0.16
SDN,2020,0.1
SEN,2020,0.24
SLB,2020,0.13
SLE,2020,0.21
SLV,2020,0.11
SOM,2020,0.27
SRB,2020,0.16
SSD,2020,0.24
STP,2020,0.25
SUR,2020,0.06
SWZ,2020,0.16
SYR,2020,0.08
TCD,2020,0.27
TGO,2020,0.24
THA,2020,0.09
TJK,2020,0.14
TKM,2020,0.07
TLS,2020,0.13
TON,2020,0.12
TUN,2020,0.02
TUR,2020,0.08
TUV,2020,0.12
TZA,2020,0.16
UGA,2020,0.17
UKR,2020,0.02
UZB,2020,0.06
VCT,2020,0.06
VEN,2020,0.08
VNM,2020,0.08
VUT,2020,0.17
WSM,2020,0.13
YEM,2020,0.19
ZAF,2020,0.15
ZMB,2020,0.21
ZWE,2020,0.17
AFG,2021,0.16
AGO,2021,0.16
ALB,2021,0.17
ARG,2021,0.06
ARM,2021,0
AZE,2021,0.07
BDI,2021,0.19
BEN,2021,0.27
BFA,2021,0.26
BGD,2021,0.1
BGR,2021,0.16
BIH,2021,0.16
BLR,2021,0.01
BLZ,2021,0.04
BOL,2021,0.06
BRA,2021,0.16
BTN,2021,0.12
BWA,2021,0.15
CAF,2021,0.24
CHN,2021,0.06
CIV,2021,0.22
CMR,2021,0.24
COD,2021,0.24
COG,2021,0.26
COL,2021,0.05
COM,2021,0.22
CPV,2021,0.01
CRI,2021,0.05
CUB,2021,0.02
DJI,2021,0.06
DMA,2021,0.04
DOM,2021,0.08
DZA,2021,0.05
ECU,2021,0.09
EGY,2021,0.04
ERI,2021,0.21
ETH,2021,0.3
FJI,2021,0.09
FSM,2021,0.2
GAB,2021,0.13
GEO,2021,0.07
GHA,2021,0.25
GIN,2021,0.23
GMB,2021,0.25
GNB,2021,0.31
GNQ,2021,0.14
GRD,2021,0.06
GTM,2021,0.07
GUY,2021,0.07
HND,2021,0.06
HTI,2021,0.15
IDN,2021,0.17
IND,2021,0.23
IRN,2021,0.03
IRQ,2021,0.09
JAM,2021,0.04
JOR,2021,0.1
KAZ,2021,0.14
KEN,2021,0.27
